home_language,pct_of_students,county_district_school_code,academic_year
Russian,3.0,03-0890-060,2018-2019
Turkish,3.0,03-0890-060,2018-2019
Spanish,45.2,03-0890-070,2018-2019
English,40.2,03-0890-070,2018-2019
Other,7.2,03-0890-070,2018-2019
Turkish,2.5,03-0890-070,2018-2019
Portuguese,2.5,03-0890-070,2018-2019
Albanian,2.5,03-0890-070,2018-2019
English,49.9,03-0890-080,2018-2019
Spanish,34.1,03-0890-080,2018-2019
Other,8.2,03-0890-080,2018-2019
Turkish,2.8,03-0890-080,2018-2019
Korean,2.6,03-0890-080,2018-2019
Portuguese,2.5,03-0890-080,2018-2019
English,62.0,03-0930-050,2018-2019
Korean,17.3,03-0930-050,2018-2019
Hebrew,11.6,03-0930-050,2018-2019
Other,5.7,03-0930-050,2018-2019
Russian,1.7,03-0930-050,2018-2019
Chinese,1.7,03-0930-050,2018-2019
English,60.2,03-0930-060,2018-2019
Korean,18.8,03-0930-060,2018-2019
Hebrew,12.0,03-0930-060,2018-2019
Other,5.2,03-0930-060,2018-2019
Russian,1.9,03-0930-060,2018-2019
Spanish,1.7,03-0930-060,2018-2019
English,47.8,03-0990-040,2018-2019
Korean,21.4,03-0990-040,2018-2019
Other,13.6,03-0990-040,2018-2019
Hebrew,9.2,03-0990-040,2018-2019
Spanish,5.2,03-0990-040,2018-2019
Chinese,2.9,03-0990-040,2018-2019
English,51.2,03-0990-045,2018-2019
Korean,21.5,03-0990-045,2018-2019
Hebrew,14.3,03-0990-045,2018-2019
Other,8.6,03-0990-045,2018-2019
Chinese,2.3,03-0990-045,2018-2019
Spanish,2.1,03-0990-045,2018-2019
English,45.2,03-0990-050,2018-2019
Hebrew,23.8,03-0990-050,2018-2019
Korean,21.0,03-0990-050,2018-2019
Other,4.6,03-0990-050,2018-2019
Spanish,3.3,03-0990-050,2018-2019
Japanese,2.1,03-0990-050,2018-2019
English,44.1,03-0990-060,2018-2019
Korean,27.1,03-0990-060,2018-2019
Hebrew,13.5,03-0990-060,2018-2019
Other,10.1,03-0990-060,2018-2019
Spanish,3.5,03-0990-060,2018-2019
Japanese,1.7,03-0990-060,2018-2019
English,90.4,03-1070-030,2018-2019
Korean,7.8,03-1070-030,2018-2019
Hebrew,1.8,03-1070-030,2018-2019
English,89.0,03-1070-040,2018-2019
Hebrew,4.2,03-1070-040,2018-2019
Korean,4.2,03-1070-040,2018-2019
Japanese,1.0,03-1070-040,2018-2019
Chinese,1.0,03-1070-040,2018-2019
Other,0.6,03-1070-040,2018-2019
English,86.2,03-1070-050,2018-2019
Korean,8.7,03-1070-050,2018-2019
Hebrew,3.2,03-1070-050,2018-2019
Other,1.8,03-1070-050,2018-2019
English,71.1,03-1130-040,2018-2019
Spanish,14.6,03-1130-040,2018-2019
Other,8.5,03-1130-040,2018-2019
Tagalog,2.4,03-1130-040,2018-2019
Albanian,2.0,03-1130-040,2018-2019
Filipino,1.4,03-1130-040,2018-2019
English,66.8,03-1130-050,2018-2019
Spanish,14.4,03-1130-050,2018-2019
Other,11.3,03-1130-050,2018-2019
Korean,3.4,03-1130-050,2018-2019
Tagalog,2.1,03-1130-050,2018-2019
Russian,2.1,03-1130-050,2018-2019
English,72.1,03-1130-060,2018-2019
Spanish,12.0,03-1130-060,2018-2019
Other,10.9,03-1130-060,2018-2019
