home_language,pct_of_students,county_district_school_code,academic_year
Russian,6.5,03-1450-070,2018-2019
Chinese,2.8,03-1450-070,2018-2019
Polish,1.9,03-1450-070,2018-2019
English,52.4,03-1450-080,2018-2019
Russian,18.8,03-1450-080,2018-2019
Other,16.5,03-1450-080,2018-2019
Hebrew,5.7,03-1450-080,2018-2019
Spanish,4.1,03-1450-080,2018-2019
Hindi,2.5,03-1450-080,2018-2019
English,59.9,03-1450-085,2018-2019
Other,16.8,03-1450-085,2018-2019
Spanish,11.0,03-1450-085,2018-2019
Russian,6.8,03-1450-085,2018-2019
Polish,2.7,03-1450-085,2018-2019
Chinese,2.7,03-1450-085,2018-2019
English,64.0,03-1450-100,2018-2019
Other,13.8,03-1450-100,2018-2019
Russian,6.9,03-1450-100,2018-2019
Spanish,6.1,03-1450-100,2018-2019
Chinese,5.4,03-1450-100,2018-2019
Urdu,3.8,03-1450-100,2018-2019
English,61.7,03-1450-110,2018-2019
Russian,13.2,03-1450-110,2018-2019
Other,11.3,03-1450-110,2018-2019
Hebrew,9.1,03-1450-110,2018-2019
Spanish,3.5,03-1450-110,2018-2019
Chinese,1.3,03-1450-110,2018-2019
English,64.6,03-1450-140,2018-2019
Other,19.7,03-1450-140,2018-2019
Spanish,7.1,03-1450-140,2018-2019
Russian,3.8,03-1450-140,2018-2019
Polish,3.1,03-1450-140,2018-2019
Korean,1.7,03-1450-140,2018-2019
English,66.1,03-1450-160,2018-2019
Other,17.3,03-1450-160,2018-2019
Spanish,8.5,03-1450-160,2018-2019
Russian,3.5,03-1450-160,2018-2019
Albanian,2.8,03-1450-160,2018-2019
Hindi,1.8,03-1450-160,2018-2019
Spanish,69.9,03-1470-060,2018-2019
English,20.3,03-1470-060,2018-2019
Arabic,6.4,03-1470-060,2018-2019
Other,2.3,03-1470-060,2018-2019
Chinese,1.1,03-1470-060,2018-2019
Spanish,61.2,03-1470-065,2018-2019
English,33.2,03-1470-065,2018-2019
Arabic,4.8,03-1470-065,2018-2019
Other,0.8,03-1470-065,2018-2019
Spanish,75.0,03-1470-080,2018-2019
English,20.2,03-1470-080,2018-2019
Arabic,2.8,03-1470-080,2018-2019
Other,2.0,03-1470-080,2018-2019
English,46.1,03-1550-050,2018-2019
Korean,20.6,03-1550-050,2018-2019
Other,13.6,03-1550-050,2018-2019
Spanish,11.1,03-1550-050,2018-2019
Chinese,5.1,03-1550-050,2018-2019
Russian,3.4,03-1550-050,2018-2019
English,50.9,03-1550-060,2018-2019
Korean,22.1,03-1550-060,2018-2019
Other,10.7,03-1550-060,2018-2019
Spanish,6.4,03-1550-060,2018-2019
Chinese,5.1,03-1550-060,2018-2019
Japanese,4.8,03-1550-060,2018-2019
English,48.0,03-1550-070,2018-2019
Korean,21.3,03-1550-070,2018-2019
Other,11.1,03-1550-070,2018-2019
Spanish,10.5,03-1550-070,2018-2019
Chinese,5.7,03-1550-070,2018-2019
Russian,3.4,03-1550-070,2018-2019
English,34.0,03-1550-080,2018-2019
Korean,31.6,03-1550-080,2018-2019
Other,13.0,03-1550-080,2018-2019
Spanish,8.0,03-1550-080,2018-2019
Chinese,7.5,03-1550-080,2018-2019
Japanese,5.9,03-1550-080,2018-2019
English,60.0,03-1550-090,2018-2019
Korean,14.5,03-1550-090,2018-2019
Other,9.4,03-1550-090,2018-2019
Russian,6.2,03-1550-090,2018-2019
Spanish,5.5,03-1550-090,2018-2019
Chinese,4.3,03-1550-090,2018-2019
English,41.7,03-1550-100,2018-2019
Other,18.7,03-1550-100,2018-2019
Korean,18.4,03-1550-100,2018-2019
Spanish,10.6,03-1550-100,2018-2019
Chinese,5.4,03-1550-100,2018-2019
Russian,5.2,03-1550-100,2018-2019
English,88.8,03-1580-015,2018-2019
Other,5.5,03-1580-015,2018-2019
Arabic,2.6,03-1580-015,2018-2019
Korean,2.1,03-1580-015,2018-2019
Russian,1.0,03-1580-015,2018-2019
English,91.3,03-1580-020,2018-2019
Spanish,3.7,03-1580-020,2018-2019
Other,3.2,03-1580-020,2018-2019
Korean,1.8,03-1580-020,2018-2019
English,89.7,03-1580-030,2018-2019
Other,5.6,03-1580-030,2018-2019
Arabic,2.8,03-1580-030,2018-2019
Russian,2.0,03-1580-030,2018-2019
English,85.6,03-1580-040,2018-2019
Other,7.0,03-1580-040,2018-2019
Russian,2.3,03-1580-040,2018-2019
Arabic,1.9,03-1580-040,2018-2019
Spanish,1.9,03-1580-040,2018-2019
Chinese,1.2,03-1580-040,2018-2019
English,62.7,03-1700-040,2018-2019
Multiple languages,11.6,03-1700-040,2018-2019
Polish,9.6,03-1700-040,2018-2019
Other,7.2,03-1700-040,2018-2019
Spanish,5.5,03-1700-040,2018-2019
Macedonian,3.4,03-1700-040,2018-2019
English,79.6,03-1700-050,2018-2019
Spanish,13.2,03-1700-050,2018-2019
Other,3.6,03-1700-050,2018-2019
Macedonian,1.8,03-1700-050,2018-2019
Albanian,1.8,03-1700-050,2018-2019
English,64.5,03-1700-060,2018-2019
Spanish,15.2,03-1700-060,2018-2019
Other,8.9,03-1700-060,2018-2019
Polish,5.3,03-1700-060,2018-2019
Albanian,3.6,03-1700-060,2018-2019
Arabic,2.5,03-1700-060,2018-2019
English,77.9,03-1700-070,2018-2019
Spanish,14.1,03-1700-070,2018-2019
Other,4.4,03-1700-070,2018-2019
Polish,1.8,03-1700-070,2018-2019
Albanian,1.8,03-1700-070,2018-2019
English,61.7,03-1700-080,2018-2019
Spanish,29.9,03-1700-080,2018-2019
Other,3.8,03-1700-080,2018-2019
Polish,3.0,03-1700-080,2018-2019
Multiple languages,1.6,03-1700-080,2018-2019
English,52.7,03-1700-086,2018-2019
Spanish,16.4,03-1700-086,2018-2019
Multiple languages,13.0,03-1700-086,2018-2019
Polish,7.5,03-1700-086,2018-2019
Other,6.8,03-1700-086,2018-2019
Turkish,3.4,03-1700-086,2018-2019
English,63.8,03-1700-100,2018-2019
Spanish,17.5,03-1700-100,2018-2019
Other,8.3,03-1700-100,2018-2019
Albanian,4.6,03-1700-100,2018-2019
Multiple languages,3.8,03-1700-100,2018-2019
Turkish,2.1,03-1700-100,2018-2019
English,58.3,03-1700-120,2018-2019
Polish,13.7,03-1700-120,2018-2019
Spanish,11.0,03-1700-120,2018-2019
Other,9.3,03-1700-120,2018-2019
Macedonian,4.7,03-1700-120,2018-2019
Albanian,2.9,03-1700-120,2018-2019
English,55.9,03-1700-130,2018-2019
Polish,12.2,03-1700-130,2018-2019
Other,11.8,03-1700-130,2018-2019
Spanish,11.5,03-1700-130,2018-2019
Macedonian,5.6,03-1700-130,2018-2019
Arabic,3.0,03-1700-130,2018-2019
English,67.4,03-1700-205,2018-2019
Spanish,20.4,03-1700-205,2018-2019
Other,4.1,03-1700-205,2018-2019
Arabic,3.7,03-1700-205,2018-2019
Albanian,3.0,03-1700-205,2018-2019
Polish,1.5,03-1700-205,2018-2019
English,68.3,03-1700-300,2018-2019
Spanish,13.6,03-1700-300,2018-2019
Polish,9.7,03-1700-300,2018-2019
Other,5.1,03-1700-300,2018-2019
Albanian,1.8,03-1700-300,2018-2019
Macedonian,1.5,03-1700-300,2018-2019
English,51.0,03-1700-302,2018-2019
Spanish,26.9,03-1700-302,2018-2019
Multiple languages,6.7,03-1700-302,2018-2019
Polish,5.8,03-1700-302,2018-2019
Albanian,4.8,03-1700-302,2018-2019
Other,4.8,03-1700-302,2018-2019
English,89.3,03-1760-050,2018-2019
Other,4.4,03-1760-050,2018-2019
Spanish,2.3,03-1760-050,2018-2019
Russian,1.5,03-1760-050,2018-2019
Korean,1.4,03-1760-050,2018-2019
Japanese,1.1,03-1760-050,2018-2019
English,89.6,03-1760-060,2018-2019
Other,4.7,03-1760-060,2018-2019
Russian,2.4,03-1760-060,2018-2019
Korean,2.3,03-1760-060,2018-2019
Japanese,1.0,03-1760-060,2018-2019
English,86.9,03-1760-065,2018-2019
Other,4.4,03-1760-065,2018-2019
Korean,3.3,03-1760-065,2018-2019
Japanese,2.6,03-1760-065,2018-2019
Russian,1.8,03-1760-065,2018-2019
Hebrew,1.1,03-1760-065,2018-2019
English,89.0,03-1760-070,2018-2019
Other,3.7,03-1760-070,2018-2019
Russian,3.3,03-1760-070,2018-2019
Japanese,1.5,03-1760-070,2018-2019
Korean,1.5,03-1760-070,2018-2019
Turkish,1.1,03-1760-070,2018-2019
English,91.9,03-1760-080,2018-2019
Other,3.2,03-1760-080,2018-2019
Spanish,2.0,03-1760-080,2018-2019
Hebrew,1.5,03-1760-080,2018-2019
Korean,1.5,03-1760-080,2018-2019
English,89.9,03-1760-090,2018-2019
Other,4.7,03-1760-090,2018-2019
Russian,3.5,03-1760-090,2018-2019
Chinese,1.9,03-1760-090,2018-2019
English,55.3,03-1860-050,2018-2019
Spanish,40.2,03-1860-050,2018-2019
Other,4.5,03-1860-050,2018-2019
English,55.0,03-1860-090,2018-2019
Spanish,35.8,03-1860-090,2018-2019
Other,4.9,03-1860-090,2018-2019
Arabic,1.7,03-1860-090,2018-2019
Telugu,1.6,03-1860-090,2018-2019
Tamil,1.0,03-1860-090,2018-2019
English,67.7,03-1860-100,2018-2019
Spanish,28.5,03-1860-100,2018-2019
Other,3.8,03-1860-100,2018-2019
English,52.8,03-1860-110,2018-2019
Spanish,40.6,03-1860-110,2018-2019
Other,6.5,03-1860-110,2018-2019
Spanish,60.0,03-1860-120,2018-2019
English,38.2,03-1860-120,2018-2019
Other,1.8,03-1860-120,2018-2019
English,48.1,03-1860-300,2018-2019
Spanish,47.7,03-1860-300,2018-2019
Other,4.1,03-1860-300,2018-2019
English,83.3,03-2050-050,2018-2019
Korean,12.1,03-2050-050,2018-2019
Other,2.5,03-2050-050,2018-2019
Spanish,1.2,03-2050-050,2018-2019
Chinese,1.0,03-2050-050,2018-2019
English,70.7,03-2080-050,2018-2019
Spanish,10.7,03-2080-050,2018-2019
Other,10.7,03-2080-050,2018-2019
Arabic,4.2,03-2080-050,2018-2019
Albanian,2.0,03-2080-050,2018-2019
Tagalog,1.6,03-2080-050,2018-2019
English,72.2,03-2080-055,2018-2019
Spanish,12.8,03-2080-055,2018-2019
Other,10.0,03-2080-055,2018-2019
Arabic,1.9,03-2080-055,2018-2019
Hindi,1.7,03-2080-055,2018-2019
Albanian,1.5,03-2080-055,2018-2019
English,80.8,03-2080-060,2018-2019
Spanish,8.7,03-2080-060,2018-2019
Other,6.1,03-2080-060,2018-2019
Arabic,2.9,03-2080-060,2018-2019
Chinese,1.5,03-2080-060,2018-2019
English,73.8,03-2080-080,2018-2019
Spanish,11.0,03-2080-080,2018-2019
Other,9.8,03-2080-080,2018-2019
Arabic,2.2,03-2080-080,2018-2019
Albanian,2.0,03-2080-080,2018-2019
Tagalog,1.2,03-2080-080,2018-2019
English,95.0,03-2090-050,2018-2019
Other,2.7,03-2090-050,2018-2019
Korean,2.2,03-2090-050,2018-2019
English,87.9,03-2180-010,2018-2019
Spanish,9.0,03-2180-010,2018-2019
Other,2.1,03-2180-010,2018-2019
Chinese,1.0,03-2180-010,2018-2019
English,90.8,03-2180-020,2018-2019
Spanish,5.8,03-2180-020,2018-2019
Other,3.4,03-2180-020,2018-2019
English,92.5,03-2180-030,2018-2019
Spanish,4.7,03-2180-030,2018-2019
Other,2.8,03-2180-030,2018-2019
English,91.4,03-2200-050,2018-2019
Spanish,3.7,03-2200-050,2018-2019
Other,3.5,03-2200-050,2018-2019
Chinese,1.3,03-2200-050,2018-2019
English,60.4,03-2620-050,2018-2019
Korean,17.8,03-2620-050,2018-2019
Spanish,10.4,03-2620-050,2018-2019
Other,7.6,03-2620-050,2018-2019
Chinese,2.0,03-2620-050,2018-2019
Russian,1.7,03-2620-050,2018-2019
English,56.3,03-2620-055,2018-2019
Korean,20.5,03-2620-055,2018-2019
Other,10.5,03-2620-055,2018-2019
Spanish,8.4,03-2620-055,2018-2019
Chinese,2.4,03-2620-055,2018-2019
Japanese,1.9,03-2620-055,2018-2019
English,57.8,03-2620-060,2018-2019
Korean,23.5,03-2620-060,2018-2019
Spanish,10.7,03-2620-060,2018-2019
Other,4.8,03-2620-060,2018-2019
Chinese,3.2,03-2620-060,2018-2019
English,61.9,03-2710-030,2018-2019
Spanish,18.6,03-2710-030,2018-2019
Other,8.7,03-2710-030,2018-2019
Arabic,4.2,03-2710-030,2018-2019
Korean,3.5,03-2710-030,2018-2019
Tagalog,3.2,03-2710-030,2018-2019
English,68.2,03-2710-050,2018-2019
Spanish,15.4,03-2710-050,2018-2019
Other,7.6,03-2710-050,2018-2019
Korean,4.6,03-2710-050,2018-2019
Arabic,2.7,03-2710-050,2018-2019
Gujarati,1.5,03-2710-050,2018-2019
Spanish,43.3,03-2740-050,2018-2019
English,40.4,03-2740-050,2018-2019
Other,8.7,03-2740-050,2018-2019
Albanian,2.8,03-2740-050,2018-2019
Tagalog,2.6,03-2740-050,2018-2019
Arabic,2.2,03-2740-050,2018-2019
English,40.4,03-2740-060,2018-2019
Spanish,40.0,03-2740-060,2018-2019
Other,10.7,03-2740-060,2018-2019
Arabic,4.4,03-2740-060,2018-2019
Albanian,2.2,03-2740-060,2018-2019
Polish,2.2,03-2740-060,2018-2019
English,48.8,03-2740-065,2018-2019
Spanish,26.6,03-2740-065,2018-2019
Other,13.3,03-2740-065,2018-2019
Gujarati,4.4,03-2740-065,2018-2019
Arabic,3.6,03-2740-065,2018-2019
Albanian,3.3,03-2740-065,2018-2019
Spanish,45.5,03-2740-067,2018-2019
English,32.2,03-2740-067,2018-2019
Other,12.6,03-2740-067,2018-2019
Arabic,4.8,03-2740-067,2018-2019
Albanian,2.9,03-2740-067,2018-2019
Tagalog,1.9,03-2740-067,2018-2019
Spanish,43.3,03-2740-080,2018-2019
English,30.4,03-2740-080,2018-2019
Other,10.5,03-2740-080,2018-2019
Arabic,9.4,03-2740-080,2018-2019
Albanian,4.1,03-2740-080,2018-2019
Portuguese,2.3,03-2740-080,2018-2019
English,47.0,03-2740-090,2018-2019
Spanish,33.6,03-2740-090,2018-2019
Other,10.4,03-2740-090,2018-2019
Arabic,3.3,03-2740-090,2018-2019
Albanian,3.0,03-2740-090,2018-2019
Tagalog,2.7,03-2740-090,2018-2019
English,40.1,03-2740-100,2018-2019
Spanish,39.8,03-2740-100,2018-2019
Other,11.5,03-2740-100,2018-2019
Arabic,3.8,03-2740-100,2018-2019
Albanian,2.7,03-2740-100,2018-2019
Polish,2.1,03-2740-100,2018-2019
English,87.8,03-2860-050,2018-2019
Spanish,7.3,03-2860-050,2018-2019
Other,3.9,03-2860-050,2018-2019
Portuguese,1.1,03-2860-050,2018-2019
English,88.7,03-2860-060,2018-2019
Other,5.7,03-2860-060,2018-2019
Spanish,3.3,03-2860-060,2018-2019
Turkish,2.4,03-2860-060,2018-2019
English,91.9,03-2860-070,2018-2019
Spanish,3.8,03-2860-070,2018-2019
Polish,1.7,03-2860-070,2018-2019
Other,1.3,03-2860-070,2018-2019
Arabic,1.3,03-2860-070,2018-2019
English,90.7,03-2860-080,2018-2019
Spanish,5.6,03-2860-080,2018-2019
Other,2.6,03-2860-080,2018-2019
Portuguese,1.1,03-2860-080,2018-2019
English,82.2,03-2860-090,2018-2019
Spanish,10.7,03-2860-090,2018-2019
Arabic,2.8,03-2860-090,2018-2019
Other,2.8,03-2860-090,2018-2019
Portuguese,1.6,03-2860-090,2018-2019
English,91.4,03-2860-110,2018-2019
Spanish,4.3,03-2860-110,2018-2019
Other,2.6,03-2860-110,2018-2019
Polish,1.7,03-2860-110,2018-2019
English,90.2,03-2860-120,2018-2019
Spanish,4.9,03-2860-120,2018-2019
Other,2.7,03-2860-120,2018-2019
Arabic,2.2,03-2860-120,2018-2019
English,90.2,03-2860-300,2018-2019
Spanish,4.4,03-2860-300,2018-2019
Other,2.5,03-2860-300,2018-2019
Turkish,2.0,03-2860-300,2018-2019
Polish,1.0,03-2860-300,2018-2019
English,90.4,03-2900-050,2018-2019
Other,3.8,03-2900-050,2018-2019
Spanish,2.0,03-2900-050,2018-2019
Russian,1.4,03-2900-050,2018-2019
Korean,1.3,03-2900-050,2018-2019
Arabic,1.1,03-2900-050,2018-2019
English,92.1,03-2900-060,2018-2019
Other,4.4,03-2900-060,2018-2019
Spanish,2.2,03-2900-060,2018-2019
Telugu,1.3,03-2900-060,2018-2019
English,81.5,03-2900-065,2018-2019
Other,8.9,03-2900-065,2018-2019
Spanish,5.7,03-2900-065,2018-2019
Polish,1.3,03-2900-065,2018-2019
Gujarati,1.3,03-2900-065,2018-2019
Russian,1.3,03-2900-065,2018-2019
English,85.5,03-2900-075,2018-2019
Other,6.4,03-2900-075,2018-2019
Spanish,4.1,03-2900-075,2018-2019
Hindi,1.4,03-2900-075,2018-2019
Chinese,1.4,03-2900-075,2018-2019
Arabic,1.1,03-2900-075,2018-2019
English,90.1,03-2900-076,2018-2019
Other,7.5,03-2900-076,2018-2019
Spanish,2.4,03-2900-076,2018-2019
English,91.5,03-2900-080,2018-2019
Korean,2.1,03-2900-080,2018-2019
Other,2.1,03-2900-080,2018-2019
Spanish,1.6,03-2900-080,2018-2019
Russian,1.6,03-2900-080,2018-2019
Gujarati,1.1,03-2900-080,2018-2019
English,65.0,03-3060-060,2018-2019
Spanish,18.5,03-3060-060,2018-2019
Other,11.8,03-3060-060,2018-2019
Hindi,1.9,03-3060-060,2018-2019
Tagalog,1.6,03-3060-060,2018-2019
Tamil,1.2,03-3060-060,2018-2019
English,61.9,03-3060-070,2018-2019
Other,18.2,03-3060-070,2018-2019
Spanish,13.2,03-3060-070,2018-2019
Tamil,2.4,03-3060-070,2018-2019
Hindi,2.4,03-3060-070,2018-2019
Telugu,1.9,03-3060-070,2018-2019
English,97.5,03-3170-050,2018-2019
Spanish,1.8,03-3170-050,2018-2019
Other,0.8,03-3170-050,2018-2019
English,97.4,03-3170-070,2018-2019
Spanish,1.9,03-3170-070,2018-2019
Other,0.7,03-3170-070,2018-2019
English,97.6,03-3170-300,2018-2019
Spanish,2.0,03-3170-300,2018-2019
Other,0.4,03-3170-300,2018-2019
English,84.5,03-3330-020,2018-2019
Other,6.9,03-3330-020,2018-2019
Spanish,2.7,03-3330-020,2018-2019
Korean,2.4,03-3330-020,2018-2019
Chinese,2.2,03-3330-020,2018-2019
Hindi,1.3,03-3330-020,2018-2019
English,82.4,03-3330-030,2018-2019
Other,6.9,03-3330-030,2018-2019
Spanish,5.0,03-3330-030,2018-2019
Korean,2.3,03-3330-030,2018-2019
Telugu,2.1,03-3330-030,2018-2019
Hindi,1.3,03-3330-030,2018-2019
English,58.2,03-3350-060,2018-2019
Spanish,28.0,03-3350-060,2018-2019
Other,7.1,03-3350-060,2018-2019
Arabic,3.7,03-3350-060,2018-2019
Korean,1.5,03-3350-060,2018-2019
Gujarati,1.5,03-3350-060,2018-2019
English,75.0,03-3550-050,2018-2019
Spanish,9.3,03-3550-050,2018-2019
Other,9.0,03-3550-050,2018-2019
Imperial Aramaic (700-300 BCE),3.3,03-3550-050,2018-2019
Filipino,1.8,03-3550-050,2018-2019
Malayalam,1.7,03-3550-050,2018-2019
English,67.0,03-3550-060,2018-2019
Other,14.9,03-3550-060,2018-2019
Spanish,12.4,03-3550-060,2018-2019
Malayalam,2.5,03-3550-060,2018-2019
Telugu,1.6,03-3550-060,2018-2019
Filipino,1.6,03-3550-060,2018-2019
English,79.0,03-3550-070,2018-2019
Other,10.6,03-3550-070,2018-2019
Spanish,4.4,03-3550-070,2018-2019
Imperial Aramaic (700-300 BCE),3.5,03-3550-070,2018-2019
Tagalog,1.5,03-3550-070,2018-2019
Malayalam,1.0,03-3550-070,2018-2019
English,76.2,03-3550-085,2018-2019
Other,10.7,03-3550-085,2018-2019
Spanish,7.4,03-3550-085,2018-2019
Imperial Aramaic (700-300 BCE),2.7,03-3550-085,2018-2019
Filipino,1.9,03-3550-085,2018-2019
Korean,1.2,03-3550-085,2018-2019
English,75.8,03-3600-050,2018-2019
Spanish,13.3,03-3600-050,2018-2019
Portuguese,3.8,03-3600-050,2018-2019
Other,3.6,03-3600-050,2018-2019
Arabic,2.3,03-3600-050,2018-2019
Polish,1.1,03-3600-050,2018-2019
English,68.8,03-3600-060,2018-2019
Spanish,16.2,03-3600-060,2018-2019
Other,6.2,03-3600-060,2018-2019
Portuguese,4.9,03-3600-060,2018-2019
Arabic,2.6,03-3600-060,2018-2019
Uzbek,1.3,03-3600-060,2018-2019
English,78.2,03-3600-070,2018-2019
Spanish,11.8,03-3600-070,2018-2019
Other,5.2,03-3600-070,2018-2019
Arabic,2.6,03-3600-070,2018-2019
Portuguese,2.2,03-3600-070,2018-2019
English,76.5,03-3600-080,2018-2019
Spanish,13.5,03-3600-080,2018-2019
Arabic,4.4,03-3600-080,2018-2019
Other,4.4,03-3600-080,2018-2019
Polish,1.1,03-3600-080,2018-2019
English,76.1,03-3600-090,2018-2019
Spanish,12.1,03-3600-090,2018-2019
Other,5.7,03-3600-090,2018-2019
Portuguese,3.3,03-3600-090,2018-2019
Arabic,2.8,03-3600-090,2018-2019
English,90.7,03-3700-050,2018-2019
Other,4.5,03-3700-050,2018-2019
Korean,2.0,03-3700-050,2018-2019
Spanish,1.7,03-3700-050,2018-2019
Chinese,1.0,03-3700-050,2018-2019
English,93.6,03-3710-050,2018-2019
Korean,3.7,03-3710-050,2018-2019
Other,2.7,03-3710-050,2018-2019
English,90.7,03-3710-060,2018-2019
Korean,5.2,03-3710-060,2018-2019
Other,2.8,03-3710-060,2018-2019
Spanish,1.3,03-3710-060,2018-2019
English,86.1,03-3710-300,2018-2019
Korean,6.3,03-3710-300,2018-2019
Other,3.8,03-3710-300,2018-2019
Spanish,2.5,03-3710-300,2018-2019
Russian,1.3,03-3710-300,2018-2019
English,62.6,03-3730-050,2018-2019
Korean,17.8,03-3730-050,2018-2019
Spanish,8.6,03-3730-050,2018-2019
Other,7.0,03-3730-050,2018-2019
Arabic,2.3,03-3730-050,2018-2019
Portuguese,1.6,03-3730-050,2018-2019
English,82.8,03-3740-020,2018-2019
Korean,14.4,03-3740-020,2018-2019
Other,2.8,03-3740-020,2018-2019
English,92.4,03-3760-040,2018-2019
Spanish,4.8,03-3760-040,2018-2019
Other,1.6,03-3760-040,2018-2019
Korean,1.2,03-3760-040,2018-2019
English,94.9,03-3760-050,2018-2019
Spanish,2.5,03-3760-050,2018-2019
Other,2.5,03-3760-050,2018-2019
English,95.9,03-3760-060,2018-2019
Other,2.6,03-3760-060,2018-2019
Spanish,1.5,03-3760-060,2018-2019
English,94.3,03-3760-080,2018-2019
Spanish,2.3,03-3760-080,2018-2019
Other,2.1,03-3760-080,2018-2019
Polish,1.3,03-3760-080,2018-2019
English,81.5,03-3850-030,2018-2019
Korean,13.1,03-3850-030,2018-2019
Other,4.4,03-3850-030,2018-2019
Spanish,1.0,03-3850-030,2018-2019
English,75.6,03-3850-060,2018-2019
Korean,14.7,03-3850-060,2018-2019
Other,5.3,03-3850-060,2018-2019
Chinese,1.7,03-3850-060,2018-2019
Russian,1.7,03-3850-060,2018-2019
Spanish,1.1,03-3850-060,2018-2019
English,82.8,03-3870-050,2018-2019
Other,4.5,03-3870-050,2018-2019
Korean,4.1,03-3870-050,2018-2019
Chinese,3.4,03-3870-050,2018-2019
Spanish,3.2,03-3870-050,2018-2019
Japanese,2.0,03-3870-050,2018-2019
English,49.9,03-3910-050,2018-2019
Korean,22.9,03-3910-050,2018-2019
Spanish,21.6,03-3910-050,2018-2019
Other,4.3,03-3910-050,2018-2019
Armenian,1.3,03-3910-050,2018-2019
Spanish,38.0,03-3910-070,2018-2019
English,32.1,03-3910-070,2018-2019
Korean,23.7,03-3910-070,2018-2019
Other,3.8,03-3910-070,2018-2019
Arabic,1.5,03-3910-070,2018-2019
Turkish,1.0,03-3910-070,2018-2019
Spanish,37.2,03-3910-080,2018-2019
English,31.1,03-3910-080,2018-2019
Korean,22.6,03-3910-080,2018-2019
Other,4.3,03-3910-080,2018-2019
Chinese,2.4,03-3910-080,2018-2019
Turkish,1.2,03-3910-080,2018-2019
English,70.2,03-3930-050,2018-2019
Other,15.6,03-3930-050,2018-2019
Korean,4.9,03-3930-050,2018-2019
Spanish,3.5,03-3930-050,2018-2019
Arabic,2.9,03-3930-050,2018-2019
Gujarati,2.9,03-3930-050,2018-2019
English,75.5,03-3930-060,2018-2019
Other,11.9,03-3930-060,2018-2019
Spanish,3.6,03-3930-060,2018-2019
Korean,3.4,03-3930-060,2018-2019
Japanese,3.2,03-3930-060,2018-2019
Arabic,2.4,03-3930-060,2018-2019
English,66.8,03-3930-065,2018-2019
Other,14.8,03-3930-065,2018-2019
Korean,7.1,03-3930-065,2018-2019
Spanish,4.6,03-3930-065,2018-2019
Japanese,3.4,03-3930-065,2018-2019
Arabic,3.2,03-3930-065,2018-2019
English,65.2,03-3930-080,2018-2019
Other,19.0,03-3930-080,2018-2019
Korean,6.5,03-3930-080,2018-2019
Spanish,3.2,03-3930-080,2018-2019
Arabic,3.2,03-3930-080,2018-2019
Japanese,2.9,03-3930-080,2018-2019
English,60.8,03-3930-090,2018-2019
Other,19.0,03-3930-090,2018-2019
Spanish,6.9,03-3930-090,2018-2019
Korean,5.3,03-3930-090,2018-2019
Japanese,4.2,03-3930-090,2018-2019
Russian,3.7,03-3930-090,2018-2019
English,71.2,03-3930-100,2018-2019
Other,13.6,03-3930-100,2018-2019
Spanish,4.6,03-3930-100,2018-2019
Gujarati,4.6,03-3930-100,2018-2019
Arabic,3.4,03-3930-100,2018-2019
Urdu,2.5,03-3930-100,2018-2019
English,65.7,03-3930-110,2018-2019
Other,16.9,03-3930-110,2018-2019
Korean,7.1,03-3930-110,2018-2019
Spanish,4.0,03-3930-110,2018-2019
Chinese,3.1,03-3930-110,2018-2019
Gujarati,3.1,03-3930-110,2018-2019
English,71.3,03-3930-130,2018-2019
Other,11.2,03-3930-130,2018-2019
Gujarati,8.4,03-3930-130,2018-2019
Japanese,3.4,03-3930-130,2018-2019
Malayalam,3.4,03-3930-130,2018-2019
Korean,2.2,03-3930-130,2018-2019
English,82.5,03-3940-050,2018-2019
Spanish,9.3,03-3940-050,2018-2019
Other,6.7,03-3940-050,2018-2019
Korean,1.5,03-3940-050,2018-2019
English,83.8,03-3940-060,2018-2019
Spanish,13.8,03-3940-060,2018-2019
Other,2.5,03-3940-060,2018-2019
English,87.9,03-3940-070,2018-2019
Other,4.9,03-3940-070,2018-2019
Spanish,4.0,03-3940-070,2018-2019
Chinese,1.7,03-3940-070,2018-2019
Russian,1.4,03-3940-070,2018-2019
English,86.6,03-3960-040,2018-2019
Other,4.7,03-3960-040,2018-2019
Spanish,4.1,03-3960-040,2018-2019
Korean,1.9,03-3960-040,2018-2019
Chinese,1.7,03-3960-040,2018-2019
Arabic,1.1,03-3960-040,2018-2019
English,92.0,03-3960-050,2018-2019
Other,3.6,03-3960-050,2018-2019
Spanish,2.9,03-3960-050,2018-2019
Korean,1.5,03-3960-050,2018-2019
English,91.7,03-3960-300,2018-2019
Spanish,8.3,03-3960-300,2018-2019
English,94.9,03-4300-030,2018-2019
Other,3.4,03-4300-030,2018-2019
Spanish,1.7,03-4300-030,2018-2019
English,92.5,03-4300-050,2018-2019
Other,4.7,03-4300-050,2018-2019
Spanish,1.7,03-4300-050,2018-2019
Arabic,1.1,03-4300-050,2018-2019
English,93.5,03-4310-050,2018-2019
Spanish,3.5,03-4310-050,2018-2019
Other,1.8,03-4310-050,2018-2019
Korean,1.2,03-4310-050,2018-2019
English,90.0,03-4310-055,2018-2019
Other,4.4,03-4310-055,2018-2019
Spanish,4.2,03-4310-055,2018-2019
