county_name,district_name,school_name,street_address,city,state,zipcode,zipcode_extn,county_district_school_code
Warren,North Warren Regional School District,North Warren Regional School,10 NOE RD,BLAIRSTOWN,NJ,07825,0410,41-3675-050
Essex,Newark Public School District,Central High School,250 18TH AVENUE,NEWARK,NJ,07103,,13-3570-030
Mercer,Trenton Public School District,Cadwalader Elementary School,501 Edgewood Avenue,Trenton,NJ,08618,,21-5210-160
Hudson,Secaucus School District,Secaucus High School,11 MILL RIDGE ROAD,SECAUCUS,NJ,07094,,17-4730-050
Union,Linden Public School District,Number 1,728 NO WOOD AVE,LINDEN,NJ,07036,4064,39-2660-080
Hudson,Bayonne School District,Henry E. Harris Community School,135 AVENUE C,BAYONNE,NJ,07002,,17-0220-050
Bergen,Carlstadt-East Rutherford Regional High School District,Henry P. Becton Regional High School,120 PATERSON AVENUE,EAST RUTHERFORD,NJ,07073,,03-0745-050
Camden,Berlin Borough School District,Berlin Community School,215 S FRANKLIN AVE,BERLIN,NJ,08009,9220,07-0330-020
Union,Springfield Public School District,Edward V. Walton Primary School,601 Mountain Ave.,Springfield,NJ,07081,,39-5000-050
Sussex,Newton Public School District,Merriam Avenue School,81 MERRIAM AVENUE,NEWTON,NJ,07860,,37-3590-070
Sussex,Fredon Township School District,Fredon Township School,459 ROUTE 94,NEWTON,NJ,07860,,37-1630-050
Union,Township of Union School District,Union High School,2350 NORTH THIRD STREET,UNION,NJ,07083,,39-5290-050
Ocean,Ocean County Vocational Technical School District,Ocean County Vocational Technical School Waretown Center,423 WELLS MILLS ROAD,WARETOWN,NJ,08758,8822,29-3790-040
Bergen,Fairview Public School District,Lincoln School,140 ANDERSON  AVENUE,FAIRVIEW,NJ,07022,,03-1470-060
Mercer,Ewing Township School District,William L Antheil Elementary School,339 EWINGVILLE ROAD,EWING,NJ,08638,1721,21-1430-140
Passaic,Woodland Park School District,Memorial Middle School,15 MEMORIAL DRIVE,Woodland Park,NJ,07424,,31-5690-070
Morris,Hanover Township School District,Bee Meadow School,120 Reynolds Avenue,Whippany,NJ,07981,1252,27-2000-025
