county_name,district_name,school_name,county_district_school_code,school_address,name_enc,address_enc,gs_school_name,gs_school_address,gs_school_link,fuzzy_name_score,fuzzy_address_score
Ocean,Jackson Township School District,Sylvia Rosenauer Elementary School,29-2360-040,"60 Citadel Drive, Jackson, NJ, 08527",SYLVIAROSENAUERELEMENTARYSCHOOL,60CITADELDRIVEJACKSONTOWNSHIPNJ08527,Sylvia Rosenauer Elementary School,"60 Citadel Drive, Jackson Township, NJ, 08527",https://www.greatschools.org/new-jersey/jackson-township/857-Sylvia-Rosenauer-Elementary-School/,100.0,85.71428571428572
Gloucester,Glassboro School District,Glassboro High School,15-1730-050,"560 Joseph L Bowe Blvd, Glassboro, NJ, 08028",GLASSBOROHIGHSCHOOL,560JOSEPHLBOWEBOULEVARDGLASSBORONJ08028,Glassboro High School,"560 Joseph L Bowe Boulevard, Glassboro, NJ, 08028",https://www.greatschools.org/new-jersey/glassboro/660-Glassboro-High-School/,100.0,85.29411764705883
Charters,Bridgeton Public Charter School,Bridgeton Public Charter School,80-6100-991,"790 East Commerce Ave, Bridgeton, NJ, 08302",BRIDGETONPUBLICCHARTERSCHOOL,790EASTCOMMERCESTREETBRIDGETONNJ08302,Bridgeton Public Charter School,"790 East Commerce Street, Bridgeton, NJ, 08302",https://www.greatschools.org/new-jersey/bridgeton/8876-Bridgeton-Public-Charter-School/,100.0,85.29411764705883
Warren,Phillipsburg School District,Phillipsburg High School,41-4100-050,"1 Stateliner Blvd., PHILLIPSBURG, NJ, 08865",PHILLIPSBURGHIGHSCHOOL,1STATELINERBOULEVARDPHILLIPSBURGNJ08865,Phillipsburg High School,"1 Stateliner Boulevard, Phillipsburg, NJ, 08865",https://www.greatschools.org/new-jersey/phillipsburg/1617-Phillipsburg-High-School/,100.0,85.29411764705883
Hudson,Jersey City Public Schools,Dr. Paul Rafalides School,17-2390-270,"362 UNION ST, JERSEY CITY, NJ, 07304",DRPAULRAFALIDESSCHOOL,362UNIONSTREETJERSEYCITYNJ07304,Dr. Paul Rafalides School,"362 Union Street, Jersey City, NJ, 07304",https://www.greatschools.org/new-jersey/jersey-city/897-Number-33-Elementary-School/,100.0,85.18518518518519
Essex,Newark Public School District,American History High School,13-3570-087,"74 Montgomery St, NEWARK, NJ, 07103",AMERICANHISTORYHIGHSCHOOL,74MONTGOMERYSTREETNEWARKNJ07103,American History High School,"74 Montgomery Street, Newark, NJ, 07103",https://www.greatschools.org/new-jersey/newark/4531-American-History-High-School/,100.0,85.18518518518519
Ocean,Brick Township Public School District,Lanes Mill Elementary School,29-0530-045,"1891 LANES MILL RD, BRICK, NJ, 08724",LANESMILLELEMENTARYSCHOOL,1891LANESMILLRDBRICKTOWNSHIPNJ08724,Lanes Mill Elementary School,"1891 LANES MILL RD, Brick Township, NJ, 08724",https://www.greatschools.org/new-jersey/brick-township/179-Lanes-Mill-Elementary-School/,100.0,85.1063829787234
Monmouth,Howell Township Public School District,Newbury Elementary School,25-2290-032,"179 NEWBURY ROAD, HOWELL, NJ, 07731",NEWBURYELEMENTARYSCHOOL,179NEWBURYROADHOWELLTOWNSHIPNJ07731,Newbury Elementary School,"179 NEWBURY ROAD, Howell Township, NJ, 07731",https://www.greatschools.org/new-jersey/howell-township/834-Newbury-Elementary-School/,100.0,85.1063829787234
Monmouth,Matawan-Aberdeen Regional School District,Lloyd Road Elementary School,25-3040-065,"401 LLOYD ROAD, ABERDEEN, NJ, 07747",LLOYDROADELEMENTARYSCHOOL,401LLOYDROADABERDEENTOWNSHIPNJ07747,Lloyd Road Elementary School,"401 LLOYD ROAD, Aberdeen Township, NJ, 07747",https://www.greatschools.org/new-jersey/matawan/1118-Lloyd-Road-Elementary-School/,100.0,85.1063829787234
Mercer,Ewing Township School District,Francis Lore Elementary School,21-1430-105,"13 WESTWOOD DRIVE, EWING, NJ, 08628",FRANCISLOREELEMENTARYSCHOOL,13WESTWOODDRIVEEWINGTOWNSHIPNJ08628,Francis Lore Elementary School,"13 WESTWOOD DRIVE, Ewing Township, NJ, 08628",https://www.greatschools.org/new-jersey/ewing-township/564-Francis-Lore-Elementary-School/,100.0,85.1063829787234
