gs_school_name,gs_school_address,gs_school_link,rating
Sussex County Technical School,"385 North Church Road, Sparta, NJ, 07871",https://www.greatschools.org/new-jersey/sparta-township/3369-Sussex-County-Technical-School/,4.0
Fountain Woods Elementary School,"601 Fountain Avenue, Burlington, NJ, 08016",https://www.greatschools.org/new-jersey/burlington/3372-Fountain-Woods-Elementary-School/,4.0
Howell Twp M S South,"220 Ramtown-Greenville Road, Howell Township, NJ, 07731",https://www.greatschools.org/new-jersey/howell-township/3381-Howell-Twp-M-S-South/,4.0
School #3,"365 Washington Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/339-Number-3-Elementary-School/,4.0
New Egypt High School,"117 EVERGREEN ROAD, Plumsted, NJ, 08533",https://www.greatschools.org/new-jersey/plumsted-township/3390-New-Egypt-High-School/,4.0
School #5,"136 Valley Road, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/341-Number-5-Elementary-School/,4.0
Galloway Twp Middle School,"100 South Reeds Road, Galloway, NJ, 08205",https://www.greatschools.org/new-jersey/galloway/3411-Galloway-Twp-Middle-School/,4.0
School #13,"782 Van Houten Avenue, Clifton, NJ, 07013",https://www.greatschools.org/new-jersey/clifton/346-Number-13-Elementary-School/,4.0
Pine Hill Middle School,"1100 Turnersville Road, Pine Hill, NJ, 08021",https://www.greatschools.org/new-jersey/pine-hill/3463-Pine-Hill-Middle-School/,4.0
Robert L Horbelt Elementary School,"104 BURR STREET, Barnegat Township, NJ, 08005",https://www.greatschools.org/new-jersey/barnegat-township/3468-Robert-L--Horbelt-Elementary-School/,4.0
School #15,"700 Gregory Avenue, Clifton, NJ, 07011",https://www.greatschools.org/new-jersey/clifton/348-Number-15-Elementary-School/,4.0
Thomas Sharp Elementary School,"400 COMLY AVE, Haddon Township, NJ, 08107",https://www.greatschools.org/new-jersey/collingswood/360-Thomas-Sharp-Elementary-School/,4.0
Delran Intermediate School,"20 Creek Road, Delran, NJ, 08075",https://www.greatschools.org/new-jersey/delran/386-Delran-Intermediate-School/,4.0
Delran High School,"50 Hartford Road, Delran, NJ, 08075",https://www.greatschools.org/new-jersey/delran/387-Delran-High-School/,4.0
Good Intent Elementary School,"1555 Good Intent Road, Deptford, NJ, 08096",https://www.greatschools.org/new-jersey/deptford-township/400-Good-Intent-Elementary-School/,4.0
Oak Valley Elementary School,"525 College Boulevard, Wenonah, NJ, 08090",https://www.greatschools.org/new-jersey/wenonah/403-Oak-Valley-Elementary-School/,4.0
Shady Lane Elementary School,"130 Peach Street, Westville, NJ, 08093",https://www.greatschools.org/new-jersey/westville/405-Shady-Lane-Elementary-School/,4.0
Dover Middle School,"302 East McFarlan Street, Dover, NJ, 07801",https://www.greatschools.org/new-jersey/dover/406-Dover-Middle-School/,4.0
Academy Street Elementary School,"14 Academy Street, Dover, NJ, 07801",https://www.greatschools.org/new-jersey/dover/408-Academy-Street-Elementary-School/,4.0
North Dover Elementary School,"51 Highland Avenue, Dover, NJ, 07801",https://www.greatschools.org/new-jersey/dover/410-North-Dover-Elementary-School/,4.0
Paterson Charter School for Science & Technology,"196 West Railway Avenue, Paterson, NJ, 07503",https://www.greatschools.org/new-jersey/paterson/4106-Paterson-Charter-School-For-Science--Technology/,4.0
Seneca High School,"110 Carranza Road, Tabernacle, NJ, 08088",https://www.greatschools.org/new-jersey/tabernacle/4138-Seneca-High-School/,4.0
Dennis Twp Elementary Mid School,"165 ACADEMY ROAD, Dennis, NJ, 08214",https://www.greatschools.org/new-jersey/woodbine/4224-Dennis-Twp-Elementary--Mid-School/,4.0
Rosa Parks Elementary School,"369 MAIN STREET, City of Orange, NJ, 07050",https://www.greatschools.org/new-jersey/city-of-orange/4228-Rosa-Parks-Elementary-School/,4.0
West New York Middle School,"201 57th Street, West New York, NJ, 07093",https://www.greatschools.org/new-jersey/west-new-york/4247-West-New-York-Middle-School/,4.0
Memorial Elementary School,"485 ADELPHIA ROAD, Freehold Township, NJ, 07728",https://www.greatschools.org/new-jersey/freehold/4272-Howell-Twp-Memorial-Middle-School/,4.0
Berkeley Township Elementary School,"10 EMORY AVENUE, Berkeley Township, NJ, 08721",https://www.greatschools.org/new-jersey/berkeley-township/4284-Berkeley-Township-Elementary-School/,4.0
Toms River Intermediate South,"1675 Pinewald Road, Beachwood, NJ, 08722",https://www.greatschools.org/new-jersey/beachwood/4291-Toms-River-Intermediate-S/,4.0
Irwin Elementary School,"71 Racetrack Road, East Brunswick, NJ, 08816",https://www.greatschools.org/new-jersey/east-brunswick/433-Irwin-School/,4.0
Sovereign Ave School,"111 North Sovereign Avenue, Atlantic City, NJ, 08401",https://www.greatschools.org/new-jersey/atlantic-city/45-Sovereign-Ave-School/,4.0
